time,active events,action,level
7.084616661071777,1 positive events2 negative events,none,2
14.088388919830322,2 positive events4 negative events,none,2
15.134984731674194,1 positive events4 negative events,1 posture positive events are no more active,2
15.659823894500732,2 positive events2 negative events,2 gaze negative events are no more active,2
20.149412393569946,1 positive events6 negative events,1 posture positive events are no more active,2
20.700530290603638,2 positive events4 negative events,2 gaze negative events are no more active,2
21.205406665802002,2 positive events5 negative events,behavioral engagemental level -1,1
28.304745197296143,2 positive events6 negative events,none,1
35.33758878707886,2 positive events3 negative events,none,1
40.583311319351196,3 positive events6 negative events,1 posture positive events are no more active,1
41.09069347381592,4 positive events5 negative events,1 gaze negative events are no more active,1
42.11866354942322,4 positive events4 negative events,2 gaze negative events are no more active,1
42.11866354942322,3 positive events4 negative events,1 posture positive events are no more active,1
42.45652461051941,4 positive events6 negative events,none,1
45.645907163619995,3 positive events6 negative events,1 posture positive events are no more active,1
46.10822582244873,4 positive events5 negative events,1 gaze negative events are no more active,1
47.21068477630615,4 positive events4 negative events,2 gaze negative events are no more active,1
47.21068477630615,3 positive events4 negative events,1 posture positive events are no more active,1
49.588321924209595,4 positive events6 negative events,none,1
50.66203856468201,3 positive events6 negative events,1 posture positive events are no more active,1
51.19059991836548,4 positive events5 negative events,1 gaze negative events are no more active,1
52.43842172622681,4 positive events4 negative events,2 gaze negative events are no more active,1
52.43842172622681,3 positive events4 negative events,1 posture positive events are no more active,1
55.67437696456909,3 positive events6 negative events,1 posture positive events are no more active,1
56.29930543899536,4 positive events6 negative events,1 gaze negative events are no more active,1
56.69945502281189,4 positive events7 negative events,none,1
63.783793926239014,2 positive events5 negative events,none,1
70.96337080001831,3 positive events4 negative events,none,1
74.91233229637146,3 positive events6 negative events,1 posture negative events are no more active,1
75.99993419647217,3 positive events6 negative events,1 posture positive events are no more active,1
76.4256489276886,4 positive events5 negative events,1 gaze negative events are no more active,1
77.85217452049255,4 positive events4 negative events,2 gaze negative events are no more active,1
78.02469968795776,4 positive events6 negative events,none,1
79.76209616661072,3 positive events6 negative events,1 posture positive events are no more active,1
81.1034483909607,3 positive events6 negative events,1 posture positive events are no more active,1
81.75833511352539,4 positive events5 negative events,1 gaze negative events are no more active,1
82.83769226074219,4 positive events4 negative events,2 gaze negative events are no more active,1
84.9646315574646,3 positive events6 negative events,1 posture positive events are no more active,1
85.11987233161926,4 positive events6 negative events,none,1
86.04489827156067,3 positive events6 negative events,1 posture positive events are no more active,1
86.70383310317993,4 positive events5 negative events,1 gaze negative events are no more active,1
