time,event
5.030789375305176,P2 positive posture event
5.510299921035767,P2 individual negative gaze event
5.510299921035767,group negative gaze event
10.14331316947937,P2 positive posture event
10.607658863067627,P2 individual negative gaze event
10.607658863067627,group negative gaze event
15.310180187225342,P2 positive posture event
15.658824443817139,P2 individual negative gaze event
16.716309309005737,P3 negative posture event
16.877819061279297,P3 individual negative gaze event
16.877819061279297,group negative gaze event
20.34584903717041,P2 positive posture event
20.699531316757202,P2 individual negative gaze event
21.832710027694702,P3 negative posture event
22.006749153137207,P3 individual negative gaze event
22.006749153137207,group negative gaze event
25.50704073905945,P2 positive posture event
25.820215225219727,P2 individual negative gaze event
27.01537275314331,P3 positive posture event
27.016372442245483,P3 individual negative gaze event
27.016372442245483,group negative gaze event
30.53752851486206,P2 positive posture event
30.966783046722412,P2 individual negative gaze event
32.09446883201599,P3 positive posture event
32.09446883201599,P3 individual negative gaze event
32.09446883201599,group negative gaze event
35.55916452407837,P2 positive posture event
35.99118137359619,P2 individual negative gaze event
37.20840096473694,P3 positive posture event
37.20840096473694,P3 individual negative gaze event
37.20840096473694,group negative gaze event
40.582308530807495,P2 positive posture event
41.08969259262085,P2 individual negative gaze event
42.30234432220459,P3 positive posture event
42.30334734916687,P3 individual negative gaze event
42.30334734916687,group negative gaze event
45.6449077129364,P2 positive posture event
46.10722613334656,P2 individual negative gaze event
47.36283755302429,P3 positive posture event
47.36383318901062,P3 individual negative gaze event
47.36383318901062,group negative gaze event
50.66103506088257,P2 positive posture event
51.19059991836548,P2 individual negative gaze event
52.43742084503174,P3 positive posture event
52.43842172622681,P3 individual negative gaze event
52.43842172622681,group negative gaze event
55.67337703704834,P2 positive posture event
55.67337703704834,P3 negative posture event
56.29830527305603,P2 individual negative gaze event
57.47878408432007,P3 individual negative gaze event
57.47878408432007,group negative gaze event
60.7134165763855,P2 positive posture event
60.7134165763855,P3 positive posture event
61.311641693115234,P2 individual negative gaze event
62.629335165023804,P3 individual negative gaze event
62.629335165023804,group negative gaze event
64.71729445457458,P2 negative posture event
65.81779861450195,P3 positive posture event
66.38984656333923,P2 individual negative gaze event
67.74185228347778,P3 individual negative gaze event
67.74185228347778,group negative gaze event
69.72302770614624,P2 positive posture event
70.96137237548828,P3 positive posture event
71.61340570449829,P2 individual negative gaze event
72.81252789497375,P3 individual negative gaze event
72.81252789497375,group negative gaze event
74.91133165359497,P2 positive posture event
75.99794340133667,P3 positive posture event
76.63376927375793,P2 individual negative gaze event
77.85116338729858,P3 individual negative gaze event
77.85116338729858,group negative gaze event
79.97622990608215,P2 positive posture event
81.10244798660278,P3 positive posture event
81.75833511352539,P2 individual negative gaze event
83.01551127433777,P3 individual negative gaze event
83.01551127433777,group negative gaze event
85.11886954307556,P2 positive posture event
86.17604398727417,P3 positive posture event
86.83535361289978,P2 individual negative gaze event
86.98148989677429,P3 negative posture event
88.05083394050598,P3 individual negative gaze event
88.05083394050598,group negative gaze event
90.25138974189758,P2 positive posture event
91.85709810256958,P2 individual negative gaze event
92.05523753166199,P3 positive posture event
93.19541215896606,P3 individual negative gaze event
93.19541215896606,group negative gaze event
95.37017893791199,P2 positive posture event
97.0077383518219,P2 individual negative gaze event
97.1895546913147,P3 positive posture event
98.22451376914978,P3 individual negative gaze event
98.22451376914978,group negative gaze event
100.49233078956604,P2 positive posture event
102.12103319168091,P2 individual negative gaze event
102.2941198348999,P3 positive posture event
103.37480330467224,P3 individual negative gaze event
103.37480330467224,group negative gaze event
105.53912448883057,P2 positive posture event
107.12940287590027,P2 individual negative gaze event
107.29859781265259,P3 positive posture event
108.3798816204071,P3 individual negative gaze event
108.3798816204071,group negative gaze event
110.69367575645447,P2 positive posture event
112.13197755813599,P2 individual negative gaze event
112.31327486038208,P3 positive posture event
113.3827006816864,P3 individual negative gaze event
113.3827006816864,group negative gaze event
115.8073296546936,P2 positive posture event
117.15355181694031,P2 individual negative gaze event
117.34878516197205,P3 positive posture event
118.46478056907654,P3 individual negative gaze event
118.46478056907654,group negative gaze event
120.81517171859741,P2 positive posture event
122.2370536327362,P2 individual negative gaze event
122.50570130348206,P3 positive posture event
123.47937083244324,P3 individual negative gaze event
123.47937083244324,group negative gaze event
125.91770696640015,P2 positive posture event
127.34760999679565,P2 individual negative gaze event
127.56572318077087,P3 positive posture event
128.51667046546936,P3 individual negative gaze event
128.51667046546936,group negative gaze event
131.13871574401855,P2 positive posture event
132.58104968070984,P3 positive posture event
132.58205103874207,P2 individual negative gaze event
133.57171201705933,P3 individual negative gaze event
133.57171201705933,group negative gaze event
136.18362951278687,P2 positive posture event
137.59789538383484,P3 positive posture event
137.59989881515503,P2 individual negative gaze event
138.7453169822693,P3 individual negative gaze event
138.7453169822693,group negative gaze event
141.20564103126526,P2 positive posture event
142.62781429290771,P3 positive posture event
142.62881660461426,P2 individual negative gaze event
143.9872055053711,P3 individual negative gaze event
143.9872055053711,group negative gaze event
