,Propositions
0,red = 10
1,red = 20
2,red = 30
3,red = 40
4,red = 50
5,blue = red
6,green = red
7,purple = red
8,red = yellow
9,red = blue + green
10,red = blue + purple
11,red = blue + yellow
12,red = green + purple
13,red = green + yellow
14,red = purple + yellow
15,red = blue + green + purple
16,red = blue + green + yellow
17,red = blue + purple + yellow
18,red = green + purple + yellow
19,red = blue + green + purple + yellow
20,red != 10
21,red != 20
22,red != 30
23,red != 40
24,red != 50
25,blue != red
26,green != red
27,purple != red
28,red != yellow
29,red != blue + green
30,red != blue + purple
31,red != blue + yellow
32,red != green + purple
33,red != green + yellow
34,red != purple + yellow
35,red != blue + green + purple
36,red != blue + green + yellow
37,red != blue + purple + yellow
38,red != green + purple + yellow
39,red != blue + green + purple + yellow
40,red < 10
41,red < 20
42,red < 30
43,red < 40
44,red < 50
45,red < blue
46,red < green
47,red < purple
48,red < yellow
49,red < blue + green
50,red < blue + purple
51,red < blue + yellow
52,red < green + purple
53,red < green + yellow
54,red < purple + yellow
55,red < blue + green + purple
56,red < blue + green + yellow
57,red < blue + purple + yellow
58,red < green + purple + yellow
59,red < blue + green + purple + yellow
60,red > 10
61,red > 20
62,red > 30
63,red > 40
64,red > 50
65,red > blue
66,red > green
67,red > purple
68,red > yellow
69,red > blue + green
70,red > blue + purple
71,red > blue + yellow
72,red > green + purple
73,red > green + yellow
74,red > purple + yellow
75,red > blue + green + purple
76,red > blue + green + yellow
77,red > blue + purple + yellow
78,red > green + purple + yellow
79,red > blue + green + purple + yellow
80,blue = 10
81,blue = 20
82,blue = 30
83,blue = 40
84,blue = 50
86,blue = green
87,blue = purple
88,blue = yellow
89,blue = green + red
90,blue = purple + red
91,blue = red + yellow
92,blue = green + purple
93,blue = green + yellow
94,blue = purple + yellow
95,blue = green + purple + red
96,blue = green + red + yellow
97,blue = purple + red + yellow
98,blue = green + purple + yellow
99,blue = green + purple + red + yellow
100,blue != 10
101,blue != 20
102,blue != 30
103,blue != 40
104,blue != 50
106,blue != green
107,blue != purple
108,blue != yellow
109,blue != green + red
110,blue != purple + red
111,blue != red + yellow
112,blue != green + purple
113,blue != green + yellow
114,blue != purple + yellow
115,blue != green + purple + red
116,blue != green + red + yellow
117,blue != purple + red + yellow
118,blue != green + purple + yellow
119,blue != green + purple + red + yellow
120,blue < 10
121,blue < 20
122,blue < 30
123,blue < 40
124,blue < 50
125,blue < red
126,blue < green
127,blue < purple
128,blue < yellow
129,blue < green + red
130,blue < purple + red
131,blue < red + yellow
132,blue < green + purple
133,blue < green + yellow
134,blue < purple + yellow
135,blue < green + purple + red
136,blue < green + red + yellow
137,blue < purple + red + yellow
138,blue < green + purple + yellow
139,blue < green + purple + red + yellow
140,blue > 10
141,blue > 20
142,blue > 30
143,blue > 40
144,blue > 50
145,blue > red
146,blue > green
147,blue > purple
148,blue > yellow
149,blue > green + red
150,blue > purple + red
151,blue > red + yellow
152,blue > green + purple
153,blue > green + yellow
154,blue > purple + yellow
155,blue > green + purple + red
156,blue > green + red + yellow
157,blue > purple + red + yellow
158,blue > green + purple + yellow
159,blue > green + purple + red + yellow
160,green = 10
161,green = 20
162,green = 30
163,green = 40
164,green = 50
167,green = purple
168,green = yellow
169,green = blue + red
170,green = purple + red
171,green = red + yellow
172,green = blue + purple
173,green = blue + yellow
174,green = purple + yellow
175,green = blue + purple + red
176,green = blue + red + yellow
177,green = purple + red + yellow
178,green = blue + purple + yellow
179,green = blue + purple + red + yellow
180,green != 10
181,green != 20
182,green != 30
183,green != 40
184,green != 50
187,green != purple
188,green != yellow
189,green != blue + red
190,green != purple + red
191,green != red + yellow
192,green != blue + purple
193,green != blue + yellow
194,green != purple + yellow
195,green != blue + purple + red
196,green != blue + red + yellow
197,green != purple + red + yellow
198,green != blue + purple + yellow
199,green != blue + purple + red + yellow
200,green < 10
201,green < 20
202,green < 30
203,green < 40
204,green < 50
205,green < red
206,green < blue
207,green < purple
208,green < yellow
209,green < blue + red
210,green < purple + red
211,green < red + yellow
212,green < blue + purple
213,green < blue + yellow
214,green < purple + yellow
215,green < blue + purple + red
216,green < blue + red + yellow
217,green < purple + red + yellow
218,green < blue + purple + yellow
219,green < blue + purple + red + yellow
220,green > 10
221,green > 20
222,green > 30
223,green > 40
224,green > 50
225,green > red
226,green > blue
227,green > purple
228,green > yellow
229,green > blue + red
230,green > purple + red
231,green > red + yellow
232,green > blue + purple
233,green > blue + yellow
234,green > purple + yellow
235,green > blue + purple + red
236,green > blue + red + yellow
237,green > purple + red + yellow
238,green > blue + purple + yellow
239,green > blue + purple + red + yellow
240,purple = 10
241,purple = 20
242,purple = 30
243,purple = 40
244,purple = 50
248,purple = yellow
249,purple = blue + red
250,purple = green + red
251,purple = red + yellow
252,purple = blue + green
253,purple = blue + yellow
254,purple = green + yellow
255,purple = blue + green + red
256,purple = blue + red + yellow
257,purple = green + red + yellow
258,purple = blue + green + yellow
259,purple = blue + green + red + yellow
260,purple != 10
261,purple != 20
262,purple != 30
263,purple != 40
264,purple != 50
268,purple != yellow
269,purple != blue + red
270,purple != green + red
271,purple != red + yellow
272,purple != blue + green
273,purple != blue + yellow
274,purple != green + yellow
275,purple != blue + green + red
276,purple != blue + red + yellow
277,purple != green + red + yellow
278,purple != blue + green + yellow
279,purple != blue + green + red + yellow
280,purple < 10
281,purple < 20
282,purple < 30
283,purple < 40
284,purple < 50
285,purple < red
286,purple < blue
287,purple < green
288,purple < yellow
289,purple < blue + red
290,purple < green + red
291,purple < red + yellow
292,purple < blue + green
293,purple < blue + yellow
294,purple < green + yellow
295,purple < blue + green + red
296,purple < blue + red + yellow
297,purple < green + red + yellow
298,purple < blue + green + yellow
299,purple < blue + green + red + yellow
300,purple > 10
301,purple > 20
302,purple > 30
303,purple > 40
304,purple > 50
305,purple > red
306,purple > blue
307,purple > green
308,purple > yellow
309,purple > blue + red
310,purple > green + red
311,purple > red + yellow
312,purple > blue + green
313,purple > blue + yellow
314,purple > green + yellow
315,purple > blue + green + red
316,purple > blue + red + yellow
317,purple > green + red + yellow
318,purple > blue + green + yellow
319,purple > blue + green + red + yellow
320,yellow = 10
321,yellow = 20
322,yellow = 30
323,yellow = 40
324,yellow = 50
329,yellow = blue + red
330,yellow = green + red
331,yellow = purple + red
332,yellow = blue + green
333,yellow = blue + purple
334,yellow = green + purple
335,yellow = blue + green + red
336,yellow = blue + purple + red
337,yellow = green + purple + red
338,yellow = blue + green + purple
339,yellow = blue + green + purple + red
340,yellow != 10
341,yellow != 20
342,yellow != 30
343,yellow != 40
344,yellow != 50
349,yellow != blue + red
350,yellow != green + red
351,yellow != purple + red
352,yellow != blue + green
353,yellow != blue + purple
354,yellow != green + purple
355,yellow != blue + green + red
356,yellow != blue + purple + red
357,yellow != green + purple + red
358,yellow != blue + green + purple
359,yellow != blue + green + purple + red
360,yellow < 10
361,yellow < 20
362,yellow < 30
363,yellow < 40
364,yellow < 50
365,yellow < red
366,yellow < blue
367,yellow < green
368,yellow < purple
369,yellow < blue + red
370,yellow < green + red
371,yellow < purple + red
372,yellow < blue + green
373,yellow < blue + purple
374,yellow < green + purple
375,yellow < blue + green + red
376,yellow < blue + purple + red
377,yellow < green + purple + red
378,yellow < blue + green + purple
379,yellow < blue + green + purple + red
380,yellow > 10
381,yellow > 20
382,yellow > 30
383,yellow > 40
384,yellow > 50
385,yellow > red
386,yellow > blue
387,yellow > green
388,yellow > purple
389,yellow > blue + red
390,yellow > green + red
391,yellow > purple + red
392,yellow > blue + green
393,yellow > blue + purple
394,yellow > green + purple
395,yellow > blue + green + red
396,yellow > blue + purple + red
397,yellow > green + purple + red
398,yellow > blue + green + purple
399,yellow > blue + green + purple + red
400,"blue = 10, green = 10, red = 10"
401,"blue = 10, green = 20, red = 10"
402,"blue = 10, green = 30, red = 10"
403,"blue = 10, green = 40, red = 10"
404,"blue = 10, green = 50, red = 10"
405,"blue = 10, purple = 10, red = 10"
406,"blue = 10, purple = 20, red = 10"
407,"blue = 10, purple = 30, red = 10"
408,"blue = 10, purple = 40, red = 10"
409,"blue = 10, purple = 50, red = 10"
410,"blue = 10, red = 10, yellow = 10"
411,"blue = 10, red = 10, yellow = 20"
412,"blue = 10, red = 10, yellow = 30"
413,"blue = 10, red = 10, yellow = 40"
414,"blue = 10, red = 10, yellow = 50"
415,"blue = 20, green = 10, red = 10"
416,"blue = 20, green = 20, red = 10"
417,"blue = 20, green = 30, red = 10"
418,"blue = 20, green = 40, red = 10"
419,"blue = 20, green = 50, red = 10"
420,"blue = 20, purple = 10, red = 10"
421,"blue = 20, purple = 20, red = 10"
422,"blue = 20, purple = 30, red = 10"
423,"blue = 20, purple = 40, red = 10"
424,"blue = 20, purple = 50, red = 10"
425,"blue = 20, red = 10, yellow = 10"
426,"blue = 20, red = 10, yellow = 20"
427,"blue = 20, red = 10, yellow = 30"
428,"blue = 20, red = 10, yellow = 40"
429,"blue = 20, red = 10, yellow = 50"
430,"blue = 30, green = 10, red = 10"
431,"blue = 30, green = 20, red = 10"
432,"blue = 30, green = 30, red = 10"
433,"blue = 30, green = 40, red = 10"
434,"blue = 30, green = 50, red = 10"
435,"blue = 30, purple = 10, red = 10"
436,"blue = 30, purple = 20, red = 10"
437,"blue = 30, purple = 30, red = 10"
438,"blue = 30, purple = 40, red = 10"
439,"blue = 30, purple = 50, red = 10"
440,"blue = 30, red = 10, yellow = 10"
441,"blue = 30, red = 10, yellow = 20"
442,"blue = 30, red = 10, yellow = 30"
443,"blue = 30, red = 10, yellow = 40"
444,"blue = 30, red = 10, yellow = 50"
445,"blue = 40, green = 10, red = 10"
446,"blue = 40, green = 20, red = 10"
447,"blue = 40, green = 30, red = 10"
448,"blue = 40, green = 40, red = 10"
449,"blue = 40, green = 50, red = 10"
450,"blue = 40, purple = 10, red = 10"
451,"blue = 40, purple = 20, red = 10"
452,"blue = 40, purple = 30, red = 10"
453,"blue = 40, purple = 40, red = 10"
454,"blue = 40, purple = 50, red = 10"
455,"blue = 40, red = 10, yellow = 10"
456,"blue = 40, red = 10, yellow = 20"
457,"blue = 40, red = 10, yellow = 30"
458,"blue = 40, red = 10, yellow = 40"
459,"blue = 40, red = 10, yellow = 50"
460,"blue = 50, green = 10, red = 10"
461,"blue = 50, green = 20, red = 10"
462,"blue = 50, green = 30, red = 10"
463,"blue = 50, green = 40, red = 10"
464,"blue = 50, green = 50, red = 10"
465,"blue = 50, purple = 10, red = 10"
