frame_index,bodyId,targets
0,1,[]
0,2,[]
0,3,[]
1,3,[]
1,1,[]
1,2,[]
4,2,[]
4,1,[]
4,3,[]
6,1,[]
6,3,[]
6,2,[]
8,1,[]
8,3,[]
8,2,[]
10,1,[]
10,2,[]
10,3,[]
12,3,[]
12,1,[]
12,2,[]
14,1,[]
14,3,[]
14,2,[]
16,3,[]
16,1,[]
16,2,[]
18,2,[]
18,1,[]
18,3,[]
20,3,[]
20,1,[]
20,2,[]
22,3,[]
22,2,[]
22,1,[]
24,3,[]
24,2,[]
24,1,[]
26,3,[]
26,2,[]
26,1,[]
28,3,[]
28,1,[]
28,2,[]
30,1,[]
30,2,[]
30,3,[]
32,3,[]
32,1,[]
32,2,[]
34,3,[]
34,1,[]
34,2,[]
36,1,[]
36,3,[]
36,2,[]
38,3,[]
38,1,[]
38,2,[]
40,1,[]
40,2,[]
40,3,[]
42,3,[]
42,1,[]
42,2,[]
44,3,[]
44,1,[]
44,2,[]
46,1,[]
46,2,[]
46,3,[]
48,2,[]
48,1,[]
48,3,[]
50,1,[]
50,3,[]
50,2,[]
52,1,[]
52,3,[]
52,2,[]
54,3,[]
54,1,[]
54,2,[]
56,2,[]
56,1,[]
56,3,[]
58,1,[]
58,2,[]
58,3,[]
60,3,[]
60,1,[]
60,2,[]
62,1,[]
62,2,[]
62,3,[]
64,2,[]
64,1,[]
64,3,[]
66,3,[]
66,2,[]
66,1,[]
68,2,[]
68,1,[]
68,3,[]
