frame_index,class,p10,p11,p20,p21
1760,0,907,571,929,598
1761,0,907,571,929,598
1762,0,907,571,929,598
1763,0,907,571,929,598
1764,0,907,571,929,598
1765,0,907,571,929,598
1766,0,907,571,929,598
1767,0,907,571,929,598
1768,0,907,571,929,598
1769,0,907,571,929,598
1770,0,907,571,929,598
1771,0,907,571,929,598
1772,0,907,571,929,598
1772,4,770,635,807,672
1773,0,907,571,929,598
1773,4,770,635,807,672
1774,0,907,571,929,598
1774,4,770,635,807,672
1775,0,907,571,929,598
1775,4,770,635,807,672
1776,0,907,571,929,598
1776,4,770,635,807,672
1777,0,907,571,929,598
1777,4,770,635,807,672
1778,0,907,571,929,598
1778,3,771,621,795,650
1778,4,775,626,809,665
1779,0,907,571,929,598
1779,3,771,621,795,650
1779,4,775,626,809,665
1780,0,908,571,930,598
1780,3,771,621,795,650
1780,4,775,626,809,665
1781,0,908,571,930,598
1781,3,771,621,795,650
1781,4,775,626,809,665
1782,0,908,572,930,599
1782,3,771,621,795,650
1782,4,776,626,809,665
1783,0,908,572,930,599
1783,3,771,621,795,650
1783,4,776,626,809,665
1784,0,908,572,930,599
1784,3,771,621,795,650
1784,4,776,626,809,665
1785,0,908,572,930,599
1785,3,771,621,795,650
1785,4,776,626,809,665
1786,0,909,572,931,599
1786,3,770,621,795,650
1786,4,776,626,809,665
1787,0,909,572,931,599
1787,3,770,621,795,650
1787,4,776,626,809,665
1788,0,909,572,931,599
1788,3,770,621,795,650
1788,4,776,626,809,665
1789,0,909,572,931,599
1789,3,770,621,795,650
1789,4,776,626,809,665
1790,0,909,572,931,599
1790,3,770,621,795,650
1790,4,776,626,809,665
1791,0,910,572,932,599
1791,3,770,621,795,650
1791,4,776,626,809,665
1792,0,910,572,932,599
1792,3,770,621,795,650
1792,4,776,626,809,665
1793,0,910,573,932,599
1793,3,770,621,795,650
1793,4,776,625,809,664
1794,0,910,573,932,599
1794,3,770,621,795,650
1794,4,776,625,809,664
1795,0,910,573,932,599
1795,3,770,621,795,650
1795,4,776,625,809,664
1796,0,910,573,932,599
1796,3,770,621,795,650
1796,4,776,625,809,664
1797,0,911,573,933,599
1797,3,770,621,795,650
1797,4,776,625,809,664
1798,0,911,573,933,599
1798,3,770,621,795,650
1798,4,777,625,809,664
1799,0,911,573,933,599
1799,3,771,621,796,650
1799,4,777,625,809,664
1800,0,911,573,933,599
1800,3,771,621,796,650
1800,4,777,625,809,664
1801,0,911,574,933,600
1801,3,771,621,796,650
1801,4,777,625,809,664
1802,0,911,574,933,600
1802,3,771,621,796,650
1802,4,777,625,809,664
1803,0,912,574,934,600
1803,3,771,621,796,650
1803,4,777,625,809,664
1804,0,912,574,934,600
1804,3,771,621,796,650
1804,4,777,625,809,664
1805,0,912,574,934,600
1805,3,771,621,796,650
1805,4,777,625,809,664
1806,0,912,574,934,600
1806,3,771,621,796,650
1806,4,777,625,809,664
1807,0,913,574,934,600
1807,3,771,621,796,650
1807,4,777,624,809,663
1808,0,913,574,934,600
1808,3,771,621,796,650
1808,4,777,624,809,663
1809,0,914,574,935,600
1809,3,770,621,796,650
1809,4,777,624,809,663
1810,0,914,574,935,600
1810,3,770,621,796,650
1810,4,777,624,809,663
1811,0,914,574,935,600
1811,3,770,621,796,650
1811,4,777,624,809,663
1812,0,914,574,935,600
1812,3,770,621,796,650
1812,4,777,624,809,663
1813,0,914,574,935,600
1813,3,770,621,796,650
1813,4,778,624,809,663
1814,0,914,574,935,600
1814,3,770,622,796,650
1814,4,778,624,809,663
1815,0,915,574,936,600
1815,3,770,622,796,650
1815,4,778,624,809,663
1816,0,915,574,936,600
1816,3,770,622,796,650
1816,4,777,624,808,663
1817,0,915,574,936,600
1817,3,770,622,796,650
1817,4,777,624,808,663
1818,0,915,574,936,600
1818,3,770,622,796,650
1818,4,777,624,808,663
1819,0,915,574,936,600
1819,3,770,622,796,650
1819,4,777,624,808,663
1820,0,915,574,936,600
1820,3,770,622,796,650
1820,4,777,624,808,663
1821,0,916,576,937,601
1821,3,770,622,796,650
1821,4,777,624,808,663
1822,0,916,576,937,601
1822,3,770,622,796,650
1822,4,777,623,808,662
1823,0,916,576,937,601
1823,3,770,622,796,650
1823,4,777,623,808,662
1824,0,916,576,937,601
1824,3,770,622,796,650
1824,4,777,623,808,662
1825,0,916,576,937,601
1825,3,770,622,796,650
1825,4,777,623,808,662
1826,0,916,576,937,601
1826,3,770,622,796,650
1826,4,777,623,808,662
1827,0,917,576,938,601
1827,3,770,622,796,650
1827,4,777,623,808,662
1828,0,917,576,938,601
1828,3,770,622,796,650
1828,4,778,623,808,662
1829,0,917,576,938,601
1829,3,771,622,797,650
1829,4,778,623,808,662
1830,0,917,576,938,601
1830,3,771,622,797,650
1830,4,778,623,808,662
1831,0,917,576,938,601
1831,3,771,622,797,650
1831,4,778,623,808,662
1832,0,917,576,938,601
1832,3,770,622,797,650
1832,4,778,623,808,662
1833,0,918,576,939,601
1833,3,770,622,797,650
1833,4,778,623,808,662
1834,0,918,576,939,601
1834,3,770,622,797,650
1834,4,778,623,808,662
1835,0,918,576,939,601
1835,3,770,622,797,650
1835,4,778,623,808,662
1836,0,918,576,939,601
1836,3,770,622,797,650
1836,4,778,622,808,661
1837,0,918,576,939,601
1837,3,770,622,797,650
1837,4,779,622,809,661
1838,0,918,576,939,601
1838,3,770,622,797,650
1838,4,779,622,809,661
1839,0,918,576,939,601
1839,3,770,622,797,650
1839,4,779,622,809,661
1840,0,919,576,940,601
1840,3,770,622,797,650
1840,4,779,622,809,661
1841,0,919,576,940,601
1841,3,770,622,797,650
1841,4,779,622,809,661
1842,0,919,577,940,602
1842,3,770,622,797,650
1842,4,779,622,809,661
1843,0,919,577,940,602
1843,3,770,622,797,650
1843,4,779,622,809,661
1844,0,919,577,940,602
1844,3,770,622,797,650
1844,4,779,622,809,661
1845,0,920,577,940,602
1845,3,770,622,797,650
1845,4,779,622,809,661
1846,0,921,577,941,602
1846,3,770,622,797,650
1846,4,779,622,809,661
1847,0,921,577,941,602
1847,3,770,622,797,650
1847,4,779,622,809,661
1848,0,921,577,941,602
1848,3,770,622,797,650
1848,4,779,622,809,661
1849,0,921,577,941,602
1849,3,770,622,797,650
1849,4,779,622,809,661
1850,0,921,577,941,602
1850,3,770,622,797,650
1850,4,779,622,809,661
1851,0,921,577,941,602
1851,1,808,621,840,662
1851,2,837,628,870,661
1851,3,770,622,797,650
1851,4,779,621,809,660
1852,0,921,577,941,602
1852,1,808,621,840,662
1852,2,837,628,870,661
1852,3,770,622,797,650
1852,4,779,621,809,660
1853,0,921,577,941,602
1853,1,808,621,840,662
1853,2,837,628,870,661
1853,3,770,622,797,650
1853,4,779,621,809,660
1854,0,921,577,941,602
1854,1,808,621,840,662
1854,2,837,628,870,661
1854,3,770,622,797,650
1854,4,779,621,809,660
1855,0,921,577,941,602
1855,1,808,621,840,662
1855,2,837,628,870,661
1855,3,770,622,797,650
1855,4,779,621,809,660
1856,0,921,577,941,602
1856,1,808,621,840,662
1856,2,837,628,870,661
1856,3,770,622,797,650
1856,4,779,621,809,660
1857,0,921,577,941,602
1857,1,808,621,840,662
1857,2,835,622,868,661
1857,3,770,622,797,650
1857,4,779,621,809,660
1858,0,921,577,941,602
1858,1,808,621,840,662
1858,2,835,622,868,661
1858,3,770,622,797,650
1858,4,779,621,809,660
1859,0,921,577,941,602
1859,1,808,621,840,662
1859,2,835,622,868,661
1859,3,770,622,797,650
1859,4,779,621,809,660
1860,0,916,580,944,609
1860,1,808,621,840,662
1860,2,835,622,868,661
1860,3,770,622,797,650
1860,4,779,621,809,660
1861,0,916,580,944,609
1861,1,808,621,840,662
1861,2,835,622,868,661
1861,3,770,622,797,650
1861,4,779,621,809,660
1862,0,916,580,944,609
1862,1,808,621,840,662
1862,2,835,622,868,661
1862,3,770,622,797,650
1862,4,779,621,809,660
1863,0,916,580,944,609
1863,1,808,621,840,662
1863,2,835,622,868,661
1863,3,770,622,797,650
1863,4,779,621,809,660
1864,0,916,580,944,609
1864,1,808,621,840,662
1864,2,835,622,868,661
1864,3,770,622,797,650
1864,4,779,621,809,660
1865,0,916,580,944,609
1865,1,808,621,840,662
1865,2,835,622,868,661
1865,3,770,622,797,650
1865,4,779,621,809,660
1866,0,916,580,944,609
1866,1,808,621,840,662
1866,2,835,622,868,661
1866,3,770,622,797,650
1866,4,779,621,809,660
1867,0,916,580,944,609
1867,1,808,621,840,662
1867,2,835,622,868,661
1867,3,770,622,797,650
1867,4,779,621,809,660
1868,0,916,580,944,609
